Year, AFDC/TANF , Housing Assistance , Child Nutrition Programs , Job Training  , Head Start , SNAP , Pell Grants , SSI , WIC , Refundable tax credits , LIHEAP , Lifeline , Child Care , Total Welfare Spending ,,,,,,,,,,,,,,,,
1960, 16.86 , 2.41 ,, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 19.27 ,, 2.0162 , 1.8973 , 1.8136 , 1.7243 , 1.6653 , 1.5771 , 1.5096 , 1.4378 , 1.3471 , 1.2615 , 1.2453 , 1.1822 , 1.14556 , 1.1290 , 1.0790 
1962, 18.10 , 1.57 , 2.36 , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 22.04 ,,,,,,,,,,,,,,,,
1964, 21.44 , 1.53 , 2.30 , 0.77 ,, -   , -   , -   , -   , -   , -   , -   , -   , 26.04 ,,,,,,,,,,,,,,,,
1966, 20.54 , 1.47 , 2.20 , 5.13 , 2.93 , 0.73 ,, -   , -   , -   , -   , -   , -   , 33.01 ,,,,,,,,,,,,,,,,
1968, 21.90 , 2.05 , 2.05 , 8.90 , 2.74 , 1.37 , 3.42 ,, -   , -   , -   , -   , -   , 42.43 ,,,,,,,,,,,,,,,,
1970, 25.60 , 3.12 , 2.50 , 7.49 , 3.12 , 3.75 , 3.12 ,, -   , -   , -   , -   , -   , 48.70 ,,,,,,,,,,,,,,,,
1972, 38.33 , 6.39 , 4.07 , 11.03 , 3.48 , 11.03 , 5.81 ,, -   , -   , -   , -   , -   , 80.15 ,,,,,,,,,,,,,,,,
1974, 26.83 , 8.94 , 3.98 , 8.94 , 3.48 , 13.91 , 4.97 , 10.93 ,, -   , -   , -   , -   , 81.99 ,,,,,,,,,,,,,,,,
1976, 25.18 , 10.85 , 8.25 , 16.93 , 3.91 , 24.75 , 9.55 , 22.14 , 0.43 , 3.47 ,, -   , -   , 125.47 ,,,,,,,,,,,,,,,,
1978, 25.22 , 14.14 , 9.94 , 20.64 , 4.20 , 21.02 , 9.94 , 22.17 , 1.53 , 3.44 , 0.76 ,, -   , 133.00 ,,,,,,,,,,,,,,,,
1980, 22.92 , 17.58 , 10.99 , 24.49 , 5.02 , 28.57 , 11.62 , 20.09 , 2.20 , 4.08 , 5.02 ,, -   , 152.57 ,,,,,,,,,,,,,,,,
1982, 21.36 , 23.52 , 8.38 , 12.98 , 5.14 , 30.01 , 7.57 , 20.54 , 2.43 , 3.24 , 4.60 ,, -   , 139.76 ,,,,,,,,,,,,,,,,
1984, 21.92 , 28.14 , 8.97 , 9.46 , 5.48 , 30.63 , 9.46 , 21.17 , 3.49 , 2.99 , 4.98 ,, -   , 146.70 ,,,,,,,,,,,,,,,,
1986, 23.41 , 29.33 , 9.22 , 9.93 , 5.44 , 29.56 , 10.88 , 24.36 , 3.78 , 3.31 , 4.73 ,, -   , 153.97 ,,,,,,,,,,,,,,,,
1988, 23.83 , 30.68 , 9.49 , 9.27 , 5.74 , 29.13 , 11.70 , 27.37 , 3.97 , 5.96 , 3.53 , 0.07 ,, 160.73 ,,,,,,,,,,,,,,,,
1990, 24.60 , 32.06 , 10.08 , 9.07 , 5.85 , 32.06 , 11.90 , 25.40 , 4.23 , 8.87 , 2.62 , 0.15 ,, 166.89 ,,,,,,,,,,,,,,,,
1992, 28.65 , 35.86 , 11.76 , 11.95 , 8.16 , 43.26 , 13.47 , 35.48 , 4.74 , 13.85 , 2.09 , 0.21 ,, 209.48 ,,,,,,,,,,,,,,,,
1994, 29.93 , 43.35 , 12.70 , 10.34 , 7.80 , 46.25 , 12.88 , 46.25 , 5.80 , 19.77 , 3.81 , 0.26 , 1.45 , 240.56 ,,,,,,,,,,,,,,,,
1996, 28.80 , 46.21 , 13.62 , 9.66 , 8.28 , 43.80 , 11.90 , 42.76 , 6.38 , 33.11 , 1.90 , 0.29 , 1.55 , 248.24 ,,,,,,,,,,,,,,,,
1998, 22.15 , 47.96 , 14.15 , 6.66 , 8.99 , 33.64 , 13.32 , 47.63 , 6.49 , 38.63 , 1.83 , 0.77 , 5.16 , 247.40 ,,,,,,,,,,,,,,,,
2000, 24.44 , 45.58 , 14.51 , 8.52 , 9.62 , 28.86 , 14.19 , 52.83 , 6.31 , 42.42 , 2.37 , 0.82 , 5.20 , 255.67 ,,,,,,,,,,,,,,,,
2002, 28.23 , 50.27 , 15.40 , 10.57 , 12.08 , 33.21 , 18.72 , 51.03 , 6.49 , 49.67 , 2.72 , 1.02 , 6.94 , 286.34 ,,,,,,,,,,,,,,,,
2004, 25.45 , 52.91 , 16.10 , 9.06 , 12.65 , 41.12 , 21.42 , 52.34 , 7.05 , 60.39 , 2.73 , 1.10 , 6.90 , 309.23 ,,,,,,,,,,,,,,,,
2006, 22.77 , 51.59 , 16.84 , 7.68 , 11.85 , 46.61 , 19.80 , 54.15 , 6.87 , 69.64 , 3.50 , 1.09 , 7.14 , 319.53 ,,,,,,,,,,,,,,,,
2008, 22.08 , 50.96 , 17.66 , 7.44 , 11.35 , 49.45 , 21.70 , 55.38 , 7.82 , 94.10 , 3.41 , 1.04 , 6.31 , 348.70 ,,,,,,,,,,,,,,,,
2010, 21.79 , 62.27 , 20.55 , 9.46 , 13.57 , 87.67 , 42.22 , 59.40 , 8.09 , 96.39 , 5.73 , 1.64 , 7.22 , 436.01 ,,,,,,,,,,,,,,,,
2012, 19.03 , 56.51 , 21.63 , 7.45 , 11.70 , 95.05 , 41.38 , 56.63 , 8.04 , 91.03 , 4.49 , 2.58 , 5.91 , 421.44 ,,,,,,,,,,,,,,,,
2014, 18.67 , 54.53 , 22.34 , 6.30 , 10.77 , 87.29 , 38.03 , 63.01 , 7.22 , 93.48 , 4.01 , 1.87 , 5.73 , 413.24 ,,,,,,,,,,,,,,,,
2016, 17.61 , 55.44 , 24.95 , 6.21 , 11.74 , 82.53 , 33.76 , 68.53 , 6.77 , 91.23 , 3.73 , 1.69 , 5.98 , 410.18 ,,,,,,,,,,,,,,,,
2018, 17.69 , 53.41 , 24.71 , 5.83 , 11.98 , 73.91 , 32.37 , 56.21 , 5.83 , 83.30 , 3.67 , 1.19 , 6.37 , 376.45 ,,,,,,,,,,,,,,,,
